Engagement metrics for individual posts. Created date indicates when your post was created. All dates and times are in UTC.,,,,,,,,,,,,,,,,,,,
Post title,Post link,Post type,Campaign name,Posted by,Created date,Campaign start date,Campaign end date,Audience,Impressions,Views,Offsite Views,Clicks,Click through rate (CTR),Likes,Comments,Reposts,Follows,Engagement rate,Content Type
"🚀 Recapping the Digital Market Linkage Lab Initiative in Jimma

Rolled out the SEED Program's onboarding and launch activities in Jimma. ✅

The initiative brought together Medium Enterprises, Interns, and Digital Marketing Experts for a collaborative 7‑week journey focused on strengthening digital presence, improving market linkage, and job creation for MSMEs and local businesses. 🤝

In partnership with Scopus Research, Training and consultancy plc, Debo Engineering & DECx, participants engaged in insightful discussions, networking, and practical onboarding sessions designed to bridge gaps between businesses and digital transformation opportunities. 💡

Beyond enterprise growth, the initiative is also creating valuable learning opportunities for young professionals through hands‑on internship experiences in digital marketing and business support. 🎓

This recap video captures some of the energy, collaboration, and shared vision from the onboarding sessions — and this is just the beginning. 🎥 We will also be sharing interview videos featuring participating enterprises, interns, and experts in the coming days. 📢

161 enterprises • 3 cities • 1 shared vision for growth. 🌍

#DigitalTransformation #SEEDProgram #Jimma #MarketLinkage #YouthEmpowerment #DigitalMarketing #OrbitInnovationHub",https://www.linkedin.com/feed/update/urn:li:activity:7466046301122486272,Organic,,Amanuel Balcha,05/29/2026,,,All followers,2161,1564,,178,0.08236927539,49,1,7,,0.1087459475,Video
"በኢትዮጵያ ክልል ከተሞች ላሉ ኢንተርፕራይዞች የተፈጠረ ዘመናዊ ""ዲጂታል የግብያ ትስስር"" 🚀

በክልል ከተሞች የሚታየው የመብራት መቆራረጥ እና የዳታ/ኔትወርክ ችግር የኦንላይን ንግድን ለብዙዎች ፈታኝ አድርጎት ቆይቷል። ነገር ግን እጅግ አነስተኛ ዳታ በሚጠቀመውና በቀላሉ በሚሰራው የ #SEEDConnect የቴሌግራም ሚኒ-አፕ ይህ መሰረታዊ ችግር ተፈቷል።

ይህ በ #SEEDProgram እና በ Orbit Innovation Hub የተዘጋጀው መድረክ፣ በዋናነት በክልል ለሚገኙ ኢንተርፕራይዞች እና የተለያዩ የንግድ ዘርፍ ላይ ለተሰማሩ ማህበራት የራሳቸው ጠንካራ ዲጂታል ሱቅ እንዲኖራቸው ያስችላቸዋል።

የ #SEEDConnect ልዩ ጥቅሞች፦

🔹 ለኔትወርክ ችግር የማይበገር፦ አነስተኛ ዳታ ይጠቀማል፤ እርስዎ ኦፍላይን ቢሆኑም ሱቅዎ እና ምርቶችዎ ለደንበኞች አይጠፉም።

🔹 100% ገቢ ለእርስዎ፦ መድረኩ ምንም አይነት ኮሚሽን አይቆርጥም። ከደንበኛዎ ጋር በቀጥታ ይገናኛሉ፤ ክፍያም በቀጥታ ለእርስዎ ይፈጸማል።

🔹 ዘመናዊ የዕቃ ክምችት ቁጥጥር፦ የተሸጡ ዕቃዎች በራሳቸው ከዝርዝርዎ ላይ ይቀነሳሉ።

በአሁኑ ሰዓት በጥሪ ብቻ ለሚገባበት የ ""Founders’ Circle"" አባላትን እየተቀበልን ነው። በቴሌግራም ላይ የ #SEEDConnect ሚኒ-አፕን ዛሬውኑ መጠቀም ይጀምሩ: 

👉 @seed_connect_bot ብለው Telegram Messenger ላይ ይፈልጉን!

#Entrepreneurship #Ethiopia #TechInAfrica #ECommerce #Innovation #OrbitInnovationHub #Telegram #TelegramMiniApp",https://www.linkedin.com/feed/update/urn:li:activity:7465718776798277633,Organic,,Amanuel Balcha,05/28/2026,,,All followers,2088,,,454,0.217432946,25,0,3,,0.2308429182,
"እንኳን ለዒድ አል አድሃ በዓል በሰላም አደረሳችሁ!
 
🌙 የኦርቢት ኢኖቬሽን ሃብ (Orbit Innovation Hub) ቤተሰብ በዓሉ የሰላም፣ የጤና እና የደስታ እንዲሆንላችሁ ይመኛል። ዒድ ሙባረክ! ✨
 
#EidAlAdha #EidMubarak #OrbitInnovationHub",https://www.linkedin.com/feed/update/urn:li:activity:7465288226354843648,Organic,,Amanuel Balcha,05/27/2026,,,All followers,381,,,4,0.01049868762,9,0,0,,0.03412073478,
"🚀 Innovation in action in Debre Birhan.

Orbit Innovation Hub had the privilege of attending a significant milestone event as Millennium Girma -CEO-Rumi Technology Solutions, a team of young Ethiopian innovators, officially handed over digital systems developed for the North Shewa Education Bureau and the North Shewa Civil Service Bureau.

This moment is incredibly special for us: Millennium Girma -CEO-Rumi Technology Solutions one of Orbit Innovation Hub's brilliant incubees during our third cohort a couple of years back.

Watching their growth from an early-stage startup in our program to a team delivering major public sector solutions fills us with immense pride.

These technology solutions are designed to support digital transformation in institutional systems, particularly in the education sector by streamlining school administration and improving operational efficiency through technology.

The event also marked an important signing and technology transfer, highlighting how young innovators are building practical solutions that public institutions can adopt and trust.

What makes this milestone even more inspiring is that the team behind Rumi is still pursuing their education while simultaneously building technology with real-world impact.

At Orbit Innovation Hub, we are proud to witness innovation move beyond ideas and into institutions — creating solutions that improve systems, empower communities, and inspire the next generation of entrepreneurs.

🌟 This is what young innovation in action looks like.

#OrbitInnovationHub #SEEDOIH #TechnologyTransfer #DebreBirhan #DigitalTransformation #YoungInnovators #StartupImpact #EthiopianInnovation",https://www.linkedin.com/feed/update/urn:li:activity:7464982327828508672,Organic,,Amanuel Balcha,05/26/2026,,,All followers,1825,,,341,0.186849311,38,2,4,,0.2109588981,
"You have 0 revenue, no product, but your business card says ""CEO"". 
Sounds familiar? 🚩

In the early days of a startup, founders spend way too much time arguing over C-level titles and not enough time on execution. In Episode 2 of Insights Unplugged, Abel Tefera Balkew and Dawit Teshome Gebresenbet break down why you need to strip away the startup ego and focus on building a team that actually delivers.

Catch the full episode to learn how to assign real roles, handle founder conflicts, and build a lasting culture.

🔗 Link in the comments! 👇

#OrbitInnovationHub #StartupEthiopia #BusinessGrowth #TeamDynamics",https://www.linkedin.com/feed/update/urn:li:activity:7464933567630991360,Organic,,Amanuel Balcha,05/26/2026,,,All followers,1567,582,,105,0.06700702012,34,1,7,,0.09380982816,Video
"Is starting a business with your best friend a recipe for success—or a guaranteed disaster? 🤔

It’s tempting to co-found a startup with your inner circle because the trust is already there. But sharing the same hobbies doesn't mean you share the same work ethic.

In Episode 2 of Insights Unplugged, host Dawit Teshome Gebresenbet sits down with team formation expert Abel Tefera Balkew to discuss the messy, complicated reality of building a startup team in the Ethiopian ecosystem.

We dive into:
🚫 The ""Clone Trap"" – Why hiring people exactly like you limits growth.
🤝 Friends vs. Founders – How to separate personal relationships from business execution.
⚖️ Defining Clear Roles – Why ""we are all equal co-founders"" is a terrible strategy.

If you are a solo founder looking for a partner or a team struggling to make decisions, this is your playbook.

#InsightsUnplugged #OrbitInnovationHub #TeamFormation 
#EthiopianStartups #Entrepreneurship 
#FounderAdvice",https://www.linkedin.com/feed/update/urn:li:activity:7464603731930578944,Organic,,Amanuel Balcha,05/25/2026,,,All followers,1523,,,65,0.04267892241,31,3,2,,0.06631647795,
"🚀 Shaping the Future of Health, Together

Innovation in healthcare begins with one powerful thing: collaboration.

Orbit Ecosystem kicked off a strategic discussion with the Ministry of Health focused on advancing digital health and innovation through co-creation, partnership, and shared vision.

The conversation explored how technology can strengthen healthcare systems, improve accessibility, enhance efficiency, and create better health outcomes for communities across Ethiopia.

At Orbit Ecosystem, we believe the future of healthcare is not built alone — it is co-created through bold partnerships and collective action.

A healthier digital future starts with conversations like these. 🤝💡

#OrbitEcosystem #DigitalHealth #HealthInnovation #CoCreation #Collaboration #Innovation #Ethiopia #FutureOfHealth #OrbitHealth",https://www.linkedin.com/feed/update/urn:li:activity:7463161450119823360,Organic,,Amanuel Balcha,05/21/2026,,,All followers,1356,,,339,0.25,25,1,0,,0.2691740394,
"Our Q1 2026 Newsletter is officially live! 

🎉 We’ve stepped into 2026 with incredible momentum. Over the last decade, Orbit Health has moved from a simple idea to a robust digital infrastructure—and now, an active, self-reinforcing ecosystem.

Dive in to see how Orbit Health, Orbit Innovation Hub, and Orbit AI Labs are working together to ensure that health implements, the hub innovates, and the ecosystem scales.

📖 Read the full Q1 Newsletter here: https://lnkd.in/eqGkrvXg

#OrbitHealth #DigitalHealth #HealthTech #Ethiopia #DecadeOfImpact #OrbitInnovationHub",https://www.linkedin.com/feed/update/urn:li:activity:7462446492071546880,Organic,,Amanuel Balcha,05/19/2026,,,All followers,1088,,,736,0.6764705777,8,0,1,,0.6847426295,
"🎓✨ In the city of wonder, where vision has stood strong for generations, a new story of builders, dreamers, and entrepreneurs is beginning.

Orbit Innovation Hub proudly celebrated the graduation of Cohort 7 in Lalibela — not just as a ceremony, but as a moment that reflected growth, ambition, and possibility. 🚀

Opening the program, Orbit Innovation Hub Manager, Dawit Teshome Gebresenbet, congratulated the graduates and expressed deep appreciation to all stakeholders and partners who supported the journey. He emphasized that this milestone is only the beginning, highlighting Orbit’s continued commitment to launching new initiatives and creating opportunities that empower young innovators to lead change.

During his remarks, Lalibela Mayor Mesay Wedaje shared that he had also attended the launching program and was amazed by how far the cohort had come. He described the graduates as “like gold in the making” — small in number, but rich in potential, value, and impact.

He further encouraged them to take responsibility as pioneers, creating opportunities and jobs for others through innovation and entrepreneurship. Calling it “the beginning, not the end,” he also extended his appreciation to Orbit Innovation Hub for initiating and driving such an impactful program in Lalibela.

From a place where history is carved in stone to a generation carving their future through ideas — the journey continues. 🇪🇹✨

#OrbitInnovationHub #Cohort7 #Innovation #Entrepreneurship #Lalibela #Ethiopia #FutureBuilders",https://www.linkedin.com/feed/update/urn:li:activity:7461733444121739264,Organic,,Amanuel Balcha,05/17/2026,,,All followers,2314,,,1175,0.5077787638,56,0,4,,0.5337078571,
"Adama! 🎓🚀

Celebrating Cohort 7 Graduation and the inspiring entrepreneurs and changemakers ready to lead with innovation and impact.

#Cohort7 #GraduationDay #Innovation #EntrepreneurshipAfrica",https://www.linkedin.com/feed/update/urn:li:activity:7461686818015571968,Organic,,Amanuel Balcha,05/17/2026,,,All followers,2199,,,922,0.4192814827,51,0,1,,0.4429286122,
"🤝 We are pleased to announce the signing of a Memorandum of Understanding (MoU) between Orbit Ecosystem — comprising Orbit Innovation Hub, Orbit Health, and Orbit AI Labs — and Placid Solutions and Consulting, InnoLearn Systems, and Florida University Southeast, School of Professional Studies (FUSE-SPS).

This strategic partnership is designed to foster innovation-driven development through collaborative programs, digital transformation initiatives, and institutional capacity strengthening.

Key areas of collaboration include:
• Advancing innovation and digital transformation
• Strengthening institutional and human capital capacity
• Bridging research and industry application
• Developing scalable and locally relevant solutions
• Expanding digital learning and collaborative platforms

📌 The partnership will be implemented through a pilot-to-scale approach aimed at delivering sustainable and measurable impact.

#OrbitEcosystem #MoU #DigitalTransformation #Innovation #Partnership",https://www.linkedin.com/feed/update/urn:li:activity:7460947684485545985,Organic,,Amanuel Balcha,05/15/2026,,,All followers,1983,,,849,0.4281391799,51,1,1,,0.4548663497,
"Following the successful Cohort 7 Graduations in Wolaita Sodo and Bale Robe, we are proud to continue celebrating the journey of young entrepreneurs and changemakers across Ethiopia. 🎓✨

Each graduation marks more than the completion of a program — it represents innovation, resilience, leadership, and the courage to build impactful solutions for communities and beyond.

The journey continues as we prepare for the next Cohort 7 Graduation celebrations in Lalibela, and Adama. We look forward to celebrating even more inspiring graduates shaping the future through entrepreneurship and innovation. 🚀

#Cohort7 #GraduationDay #Entrepreneurship #Innovation #YouthEmpowerment #OrbitInnovationHub #SEEDProgram",https://www.linkedin.com/feed/update/urn:li:activity:7460574606500962304,Organic,,Amanuel Balcha,05/14/2026,,,All followers,1936,,,918,0.4741735458,42,0,0,,0.495867759,
"Promoting Inclusive Market linkage  for Enterprises. 🤝💡

A successful Capacity Building Training on Digital Market Linkage (DML) was conducted for Persons with Disabilities (PWDs) in Burayu in collaboration with Burayu Polytechnic College.

The training focused on strengthening participants’ understanding of digital market linkage and building pathways toward greater economic participation and collaboration. As part of the broader DML Lab initiative, participants will also engage in opportunities focused on access to markets, digital financing, and job creation, while fostering collective growth and collaboration.

This initiative reflects a continued commitment to inclusion, empowerment, and sustainable livelihoods through digital innovation and skills development.

#DigitalMarketLinkage #DMLLab #CapacityBuilding #Inclusion #PWDs #SkillsDevelopment #DigitalFinancing #JobCreation #AccessToMarket #CommunityEmpowerment #Burayu #EthiopianStartups",https://www.linkedin.com/feed/update/urn:li:activity:7460231979381342208,Organic,,Amanuel Balcha,05/13/2026,,,All followers,2082,,,768,0.3688760698,39,3,3,,0.3904899061,
"Celebrating innovation, growth, and impact in Wolaita Sodo. 🎓

Today marks the Cohort 7 Graduation, recognizing the dedication, creativity, and entrepreneurial journey of emerging changemakers who are shaping stronger communities and brighter futures.

Congratulations to all graduates taking this important step forward. Your ideas, resilience, and commitment are creating meaningful impact. 🚀

#Cohort7 #GraduationDay #Entrepreneurship #Innovation #YouthEmpowerment #OrbitInnovationHub #SEEDProgram",https://www.linkedin.com/feed/update/urn:li:activity:7458871595671973889,Organic,,Amanuel Balcha,05/09/2026,,,All followers,2433,,,1453,0.5972051024,65,4,1,,0.6259761453,
"Today in Bale Robe, we proudly celebrate the Cohort 7 Graduation. 🎓
This milestone reflects the commitment, perseverance, and innovative spirit of young entrepreneurs and changemakers who have successfully completed their journey and are ready to drive impact within their communities and beyond.
Congratulations to all graduates on this achievement and best wishes for the exciting path ahead. 🚀
#Cohort7 #GraduationDay #Entrepreneurship #Innovation #YouthEmpowerment #OrbitInnovationHub #SEEDProgram",https://www.linkedin.com/feed/update/urn:li:activity:7458806892870529024,Organic,,Amanuel Balcha,05/09/2026,,,All followers,1306,,,200,0.1531393528,28,1,0,,0.1753445566,
"From Day 1 to the final day of the SEED Learning Summit 2026.

Over the past two days, the summit has brought together ecosystem leaders, innovators, development partners, and institutions to exchange ideas, reflect on lessons, and explore opportunities around entrepreneurship, enterprise development, and employment creation.

Grateful to be part of the conversations, collaboration, and shared learning shaping the future of innovation and entrepreneurship in Ethiopia.

#SEEDProgram #Entrepreneurship #EnterpriseDevelopment #Innovation #YouthEmployment #OrbitInnovationHub #EthiopianStartups",https://www.linkedin.com/feed/update/urn:li:activity:7458461312990208000,Organic,,Amanuel Balcha,05/08/2026,,,All followers,2226,,,764,0.3432165384,63,1,2,,0.3728661239,
"Today, Orbit Innovation Hub  is attending the SEED Learning Summit 2026 as a consortium member of the SEED Program (Sustainable Employment Through Entrepreneurship & Enterprise Development).
This summit brings together ecosystem leaders, innovators, development partners, and institutions to explore the key achievements, lessons, and challenges from the past two and a half years of the five-year SEED Program under the theme:
“Driving Entrepreneurship for Enterprise Development and Employment.”

The program opened with welcoming remarks from  Hassen Hussien (Ph.D) CEO, EDI and a keynote speech delivered by Mefthe Tadesse,Country Director, Mastercard foundation Ethiopia .

Looking forward to the discussions, shared experiences, and collaborative learning throughout the summit.

#SEEDProgram #Entrepreneurship #EnterpriseDevelopment #YouthEmployment #Innovation #OrbitInnovationHub #Ethiopia",https://www.linkedin.com/feed/update/urn:li:activity:7458150599864315904,Organic,,Amanuel Balcha,05/07/2026,,,All followers,2855,,,1032,0.3614711165,60,0,4,,0.3838879168,
"የዛሬዋን ነፃ ሀገር እንድንረከብ ውድ ህይወታቸውን እና ደማቸውን ለገበሩ ጀግኖች አባቶቻችን እና እናቶቻችን የላቀ ክብር እንሰጣለን። እንኳን ለሚያዝያ 27 የአርበኞች ድል ቀን በሰላም አደረሳችሁ! ክብር ለሀገራችን አርበኞች! 🇪🇹

#የአርበኞችድልቀን #ሚያዝያ27 #PatriotsVictoryDay #Ethiopia #OrbitHealth #OrbitInnovationHub",https://www.linkedin.com/feed/update/urn:li:activity:7457323730852253696,Organic,,Amanuel Balcha,05/05/2026,,,All followers,588,,,4,0.006802720949,10,0,1,,0.02551020496,
